timestamp,time_sec,mode,pos_x,pos_y,pos_z,ref_x,ref_y,ref_z,err_x,err_y,err_z,err_pos_norm,vel_x,vel_y,vel_z,roll_deg,pitch_deg,yaw_deg,ref_roll_deg,ref_pitch_deg,ref_yaw_deg,err_roll_deg,err_pitch_deg,err_yaw_deg,ctrl_acc_z,ctrl_wx,ctrl_wy,ctrl_wz,cmd_thrust,estimated_hover_thrust,solve_time_ms,voltage_v,current_a,power_w,energy_j,imu_acc_z,imu_wx,imu_wy,imu_wz,eso_dx,eso_dy,eso_dz
1788402289108675488,0.428768,-1,-1.041808,0.941179,-1.003448,-1.041808,0.941179,-1.003448,0.000000,0.000000,0.000000,0.000000,-0.054581,0.057356,-0.296492,0.167917,0.857750,167.629278,0.000000,0.000000,167.629278,0.167917,0.857750,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,9.025280,0.067947,-0.028016,-0.073691,0.000000,0.000000,0.000000
1788402289141689897,0.461783,-1,-1.041234,0.939344,-1.015121,-1.041234,0.939344,-1.015121,0.000000,0.000000,0.000000,0.000000,-0.052813,0.057814,-0.288581,0.291572,0.867776,167.468513,0.000000,0.000000,167.468513,0.291572,0.867776,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,8.324852,0.169223,-0.021177,-0.081569,0.000000,0.000000,0.000000
1788402289174663998,0.494757,-1,-1.040726,0.936828,-1.030884,-1.040726,0.936828,-1.030884,0.000000,0.000000,0.000000,0.000000,-0.046921,0.071376,-0.294874,0.333309,0.914306,167.316130,0.000000,0.000000,167.316130,0.333309,0.914306,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,4.749574,0.039915,0.077013,-0.092421,0.000000,0.000000,0.000000
1788402289207589608,0.527682,-1,-1.040579,0.934839,-1.042831,-1.040579,0.934839,-1.042831,0.000000,0.000000,0.000000,0.000000,-0.047617,0.081243,-0.286770,0.251839,0.978542,167.233455,0.000000,0.000000,167.233455,0.251839,0.978542,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,3.880871,-0.035293,0.015988,-0.064819,0.000000,0.000000,0.000000
1788402289240509144,0.560602,-1,-1.040365,0.932769,-1.054199,-1.040365,0.932769,-1.054199,0.000000,0.000000,0.000000,0.000000,-0.049515,0.084516,-0.280533,0.061755,1.092575,167.075476,0.000000,0.000000,167.075476,0.061755,1.092575,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,3.432971,0.027562,0.029157,-0.068755,0.000000,0.000000,0.000000
1788402289273514412,0.593607,-1,-1.039982,0.929924,-1.070190,-1.039982,0.929924,-1.070190,0.000000,0.000000,0.000000,0.000000,-0.048433,0.085842,-0.272138,0.145065,1.165897,166.925096,0.000000,0.000000,166.925096,0.145065,1.165897,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,4.535357,0.075995,0.038694,-0.075049,0.000000,0.000000,0.000000
1788402289306474864,0.626568,-1,-1.039621,0.927621,-1.082016,-1.039621,0.927621,-1.082016,0.000000,0.000000,0.000000,0.000000,-0.049007,0.089243,-0.266180,0.300289,1.112075,166.796211,0.000000,0.000000,166.796211,0.300289,1.112075,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,5.632071,0.076446,0.010531,-0.059784,0.000000,0.000000,0.000000
1788402289339449924,0.659543,-1,-1.039157,0.925179,-1.093430,-1.039157,0.925179,-1.093430,0.000000,0.000000,0.000000,0.000000,-0.052264,0.095145,-0.266929,0.376070,1.047039,166.738407,0.000000,0.000000,166.738407,0.376070,1.047039,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,6.353072,0.026060,-0.018800,-0.048287,0.000000,0.000000,0.000000
1788402289372371090,0.692464,-1,-1.038728,0.922512,-1.105759,-1.038728,0.922512,-1.105759,0.000000,0.000000,0.000000,0.000000,-0.054667,0.101202,-0.264328,0.575878,0.944764,166.614897,0.000000,0.000000,166.614897,0.575878,0.944764,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,8.253222,0.063390,0.015557,-0.062529,0.000000,0.000000,0.000000
1788402289405365585,0.725458,-1,-1.038219,0.918671,-1.122406,-1.038219,0.918671,-1.122406,0.000000,0.000000,0.000000,0.000000,-0.051934,0.100757,-0.254126,0.659307,0.918428,166.555617,0.000000,0.000000,166.555617,0.659307,0.918428,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,13.385666,0.024953,0.019607,-0.053037,0.000000,0.000000,0.000000
1788402289438335563,0.758428,-1,-1.037864,0.915607,-1.134567,-1.037864,0.915607,-1.134567,0.000000,0.000000,0.000000,0.000000,-0.051952,0.106763,-0.257542,0.736358,0.916699,166.458344,0.000000,0.000000,166.458344,0.736358,0.916699,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,14.401153,-0.072461,0.060956,-0.035676,0.000000,0.000000,0.000000
1788402289471253629,0.791346,-1,-1.037529,0.912355,-1.147705,-1.037529,0.912355,-1.147705,0.000000,0.000000,0.000000,0.000000,-0.056769,0.104128,-0.253880,0.743485,0.955480,166.387480,0.000000,0.000000,166.387480,0.743485,0.955480,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,15.554846,0.003994,-0.047238,-0.026031,0.000000,0.000000,0.000000
1788402289504227475,0.824320,-1,-1.037042,0.907890,-1.165283,-1.037042,0.907890,-1.165283,0.000000,0.000000,0.000000,0.000000,-0.055327,0.100830,-0.259085,0.792796,1.002464,166.349939,0.000000,0.000000,166.349939,0.792796,1.002464,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,13.726658,0.080773,0.021249,-0.024628,0.000000,0.000000,0.000000
1788402289537219732,0.857312,-1,-1.036650,0.904466,-1.177917,-1.036650,0.904466,-1.177917,0.000000,0.000000,0.000000,0.000000,-0.050168,0.101606,-0.262201,0.903416,1.066091,166.294260,0.000000,0.000000,166.294260,0.903416,1.066091,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,12.624611,0.136337,0.018675,-0.021710,0.000000,0.000000,0.000000
1788402289570145278,0.890238,-1,-1.036317,0.899711,-1.195740,-1.036317,0.899711,-1.195740,0.000000,0.000000,0.000000,0.000000,-0.051008,0.104427,-0.268375,0.932440,1.128267,166.259369,0.000000,0.000000,166.259369,0.932440,1.128267,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,6.647067,0.078119,-0.008049,-0.010814,0.000000,0.000000,0.000000
1788402289603139581,0.923232,-1,-1.036103,0.896029,-1.208710,-1.036103,0.896029,-1.208710,0.000000,0.000000,0.000000,0.000000,-0.054051,0.108505,-0.259439,0.996005,1.216018,166.230070,0.000000,0.000000,166.230070,0.996005,1.216018,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,6.783955,0.092631,-0.020443,-0.003533,0.000000,0.000000,0.000000
1788402289636075548,0.956168,-1,-1.035822,0.892266,-1.220947,-1.035822,0.892266,-1.220947,0.000000,0.000000,0.000000,0.000000,-0.048785,0.108784,-0.258310,1.032700,1.245993,166.232848,0.000000,0.000000,166.232848,1.032700,1.245993,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,6.582033,0.074866,0.019278,-0.006264,0.000000,0.000000,0.000000
1788402289669079408,0.989172,-1,-1.035652,0.888457,-1.233215,-1.035652,0.888457,-1.233215,0.000000,0.000000,0.000000,0.000000,-0.041295,0.113577,-0.256596,1.040788,1.352608,166.243193,0.000000,0.000000,166.243193,1.040788,1.352608,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,4.609373,0.084061,0.049995,0.005070,0.000000,0.000000,0.000000
1788402289702096631,1.022189,-1,-1.035625,0.883214,-1.250015,-1.035625,0.883214,-1.250015,0.000000,0.000000,0.000000,0.000000,-0.048113,0.125749,-0.242252,1.011919,1.417729,166.245799,0.000000,0.000000,166.245799,1.011919,1.417729,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,4.622911,-0.097364,0.198382,0.019587,0.000000,0.000000,0.000000
1788402289735014697,1.055107,-1,-1.035486,0.879310,-1.261703,-1.035486,0.879310,-1.261703,0.000000,0.000000,0.000000,0.000000,-0.045667,0.119677,-0.221849,1.011999,1.474169,166.294864,0.000000,0.000000,166.294864,1.011999,1.474169,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,10.695780,-0.037666,0.049020,0.021302,0.000000,0.000000,0.000000
1788402289767927233,1.088020,-1,-1.035518,0.875301,-1.274033,-1.035518,0.875301,-1.274033,0.000000,0.000000,0.000000,0.000000,-0.042412,0.109849,-0.212360,1.264643,1.420241,166.354330,0.000000,0.000000,166.354330,1.264643,1.420241,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,3.745428,0.057290,0.100448,0.030102,0.000000,0.000000,0.000000
1788402289800886023,1.120979,-1,-1.035773,0.869879,-1.290421,-1.035773,0.869879,-1.290421,0.000000,0.000000,0.000000,0.000000,-0.035981,0.113213,-0.212748,1.330321,1.521613,166.393148,0.000000,0.000000,166.393148,1.330321,1.521613,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,17.054499,0.028506,0.100503,0.038476,0.000000,0.000000,0.000000
1788402289833876490,1.153969,-1,-1.036084,0.865694,-1.302139,-1.036084,0.865694,-1.302139,0.000000,0.000000,0.000000,0.000000,-0.034860,0.117159,-0.214800,1.399137,1.635830,166.458215,0.000000,0.000000,166.458215,1.399137,1.635830,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,4.820821,-0.124768,0.112104,0.046700,0.000000,0.000000,0.000000
1788402289866833106,1.186926,-1,-1.036504,0.861361,-1.314575,-1.036504,0.861361,-1.314575,0.000000,0.000000,0.000000,0.000000,-0.029411,0.119054,-0.212354,1.335132,1.727164,166.565126,0.000000,0.000000,166.565126,1.335132,1.727164,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,13.006934,-0.007925,-0.018935,0.040321,0.000000,0.000000,0.000000
1788402289899790969,1.219884,-1,-1.037195,0.855530,-1.330887,-1.037195,0.855530,-1.330887,0.000000,0.000000,0.000000,0.000000,-0.020966,0.118846,-0.206214,1.316063,1.817265,166.608036,0.000000,0.000000,166.608036,1.316063,1.817265,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,7.064845,0.012301,0.035926,0.033623,0.000000,0.000000,0.000000
1788402289932777920,1.252871,-1,-1.037195,0.855530,-1.330887,-1.037195,0.855530,-1.330887,0.000000,0.000000,0.000000,0.000000,-0.020966,0.118846,-0.206214,1.316063,1.817265,166.608036,0.000000,0.000000,166.608036,1.316063,1.817265,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,12.201167,0.056838,-0.049840,0.048559,0.000000,0.000000,0.000000
1788402289965752405,1.285845,-1,-1.037769,0.851210,-1.342300,-1.037769,0.851210,-1.342300,0.000000,0.000000,0.000000,0.000000,-0.019039,0.117768,-0.202873,1.365417,1.766680,166.718316,0.000000,0.000000,166.718316,1.365417,1.766680,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,9.422516,-0.035926,-0.112234,0.057929,0.000000,0.000000,0.000000
1788402289998755498,1.318848,-1,-1.038439,0.846664,-1.354416,-1.038439,0.846664,-1.354416,0.000000,0.000000,0.000000,0.000000,-0.019022,0.121738,-0.203193,1.369450,1.632224,166.826960,0.000000,0.000000,166.826960,1.369450,1.632224,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,10.483869,0.012356,-0.057684,0.046079,0.000000,0.000000,0.000000
1788402290031673485,1.351766,-1,-1.039456,0.840569,-1.370209,-1.039456,0.840569,-1.370209,0.000000,0.000000,0.000000,0.000000,-0.016031,0.119620,-0.190725,1.386062,1.517258,166.894274,0.000000,0.000000,166.894274,1.386062,1.517258,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,11.338824,0.060090,-0.070611,0.052925,0.000000,0.000000,0.000000
1788402290064606957,1.384700,-1,-1.040997,0.831537,-1.392624,-1.040997,0.831537,-1.392624,0.000000,0.000000,0.000000,0.000000,-0.009862,0.119740,-0.184190,1.521656,1.187641,167.067010,0.000000,0.000000,167.067010,1.521656,1.187641,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,7.821867,0.098947,-0.135034,0.046173,0.000000,0.000000,0.000000
1788402290097661198,1.417754,-1,-1.040997,0.831537,-1.392624,-1.040997,0.831537,-1.392624,0.000000,0.000000,0.000000,0.000000,-0.009862,0.119740,-0.184190,1.521656,1.187641,167.067010,0.000000,0.000000,167.067010,1.521656,1.187641,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,7.358405,0.019345,-0.163849,0.045521,0.000000,0.000000,0.000000
1788402290130582683,1.450675,-1,-1.041960,0.825353,-1.407715,-1.041960,0.825353,-1.407715,0.000000,0.000000,0.000000,0.000000,-0.014764,0.123652,-0.178599,1.535876,1.070809,167.104342,0.000000,0.000000,167.104342,1.535876,1.070809,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,12.467694,0.116565,-0.084529,0.048320,0.000000,0.000000,0.000000
1788402290163513534,1.483606,-1,-1.042682,0.820821,-1.418167,-1.042682,0.820821,-1.418167,0.000000,0.000000,0.000000,0.000000,-0.013337,0.115871,-0.175533,1.521643,0.923222,167.181690,0.000000,0.000000,167.181690,1.521643,0.923222,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,5.747066,0.204246,-0.058600,0.053079,0.000000,0.000000,0.000000
1788402290198628644,1.518721,-1,-1.043372,0.816302,-1.429398,-1.043372,0.816302,-1.429398,0.000000,0.000000,0.000000,0.000000,-0.010750,0.115326,-0.176149,1.782599,0.771223,167.299205,0.000000,0.000000,167.299205,1.782599,0.771223,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,14.436472,0.143079,-0.084492,0.064442,0.000000,0.000000,0.000000
1788402290229474811,1.549567,-1,-1.043986,0.811800,-1.440567,-1.043986,0.811800,-1.440567,0.000000,0.000000,0.000000,0.000000,-0.012349,0.118709,-0.174266,1.765263,0.749622,167.349231,0.000000,0.000000,167.349231,1.765263,0.749622,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,3.813847,0.140570,-0.005706,0.059288,0.000000,0.000000,0.000000
1788402290262435039,1.582528,-1,-1.044712,0.805862,-1.454300,-1.044712,0.805862,-1.454300,0.000000,0.000000,0.000000,0.000000,-0.014191,0.123871,-0.166929,2.032466,0.693559,167.498258,0.000000,0.000000,167.498258,2.032466,0.693559,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,12.626945,0.141526,0.006292,0.065988,0.000000,0.000000,0.000000
1788402290295517762,1.615610,-1,-1.045221,0.801231,-1.465210,-1.045221,0.801231,-1.465210,0.000000,0.000000,0.000000,0.000000,-0.011833,0.122647,-0.153159,2.164892,0.629823,167.639202,0.000000,0.000000,167.639202,2.164892,0.629823,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,7.979496,0.037129,0.061856,0.081487,0.000000,0.000000,0.000000
1788402290328329507,1.648422,-1,-1.045836,0.794999,-1.479446,-1.045836,0.794999,-1.479446,0.000000,0.000000,0.000000,0.000000,-0.011326,0.127858,-0.149155,2.324690,0.715089,167.828970,0.000000,0.000000,167.828970,2.324690,0.715089,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,11.085915,0.014209,0.079316,0.090462,0.000000,0.000000,0.000000
1788402290361384323,1.681477,-1,-1.046291,0.790384,-1.489380,-1.046291,0.790384,-1.489380,0.000000,0.000000,0.000000,0.000000,-0.014754,0.128133,-0.141057,2.391676,0.793653,167.946841,0.000000,0.000000,167.946841,2.391676,0.793653,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,5.793163,0.117097,0.100247,0.111422,0.000000,0.000000,0.000000
1788402290394321184,1.714414,-1,-1.046759,0.785591,-1.500229,-1.046759,0.785591,-1.500229,0.000000,0.000000,0.000000,0.000000,-0.012281,0.126627,-0.128852,2.410557,0.946909,168.214038,0.000000,0.000000,168.214038,2.410557,0.946909,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,5.475393,0.034408,0.123014,0.113848,0.000000,0.000000,0.000000
1788402290427265557,1.747358,-1,-1.047343,0.779299,-1.514496,-1.047343,0.779299,-1.514496,0.000000,0.000000,0.000000,0.000000,-0.010112,0.120377,-0.123841,2.426360,1.026130,168.344669,0.000000,0.000000,168.344669,2.426360,1.026130,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,5.729253,0.005589,0.088979,0.112816,0.000000,0.000000,0.000000
1788402290460160766,1.780253,-1,-1.047816,0.774627,-1.524368,-1.047816,0.774627,-1.524368,0.000000,0.000000,0.000000,0.000000,-0.009059,0.121970,-0.124259,2.479918,1.203019,168.606227,0.000000,0.000000,168.606227,2.479918,1.203019,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,12.648668,-0.120956,0.165523,0.123107,0.000000,0.000000,0.000000
1788402290493173291,1.813266,-1,-1.048341,0.769781,-1.535187,-1.048341,0.769781,-1.535187,0.000000,0.000000,0.000000,0.000000,-0.007480,0.128854,-0.123188,2.324966,1.472022,168.912852,0.000000,0.000000,168.912852,2.324966,1.472022,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,6.874529,0.044803,0.118870,0.107071,0.000000,0.000000,0.000000
1788402290526165389,1.846258,-1,-1.048895,0.764948,-1.545959,-1.048895,0.764948,-1.545959,0.000000,0.000000,0.000000,0.000000,-0.009968,0.121982,-0.122949,2.393733,1.505250,169.004646,0.000000,0.000000,169.004646,2.393733,1.505250,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,9.207127,0.081128,0.107655,0.101137,0.000000,0.000000,0.000000
1788402290559126065,1.879219,-1,-1.049705,0.758715,-1.559128,-1.049705,0.758715,-1.559128,0.000000,0.000000,0.000000,0.000000,-0.000693,0.115788,-0.122558,2.350769,1.667879,169.257050,0.000000,0.000000,169.257050,2.350769,1.667879,0.000000,9.806600,0.000000,0.000000,0.000000,0.720000,0.720000,1.610980,0.000000,0.000000,0.000000,0.000000,13.639774,0.039175,0.014477,0.077139,0.000000,0.000000,0.000000
